tag_id_long,river_or_estuary,wild_or_hatchery,stock
989.001038888794,estuary,hatchery,
989.001038888776,estuary,hatchery,
989.001038888793,estuary,hatchery,
989.001038888757,estuary,hatchery,
989.001038888838,estuary,hatchery,
989.001038888790,estuary,hatchery,
989.001038888805,estuary,hatchery,
989.001038888762,estuary,hatchery,
989.001038888747,estuary,hatchery,
989.001038888769,estuary,hatchery,
989.001038888782,estuary,hatchery,
989.001038888822,estuary,hatchery,
989.001038888808,estuary,hatchery,
989.001038888768,estuary,hatchery,
989.001038888836,estuary,hatchery,
989.001038887145,estuary,wild,
989.001038887146,estuary,wild,
989.001038887180,estuary,wild,
989.001038887176,estuary,wild,
989.001038887182,estuary,wild,
989.001038887229,estuary,wild,
989.001038869369,river,wild,
989.001038888778,estuary,hatchery,
989.001038888751,estuary,hatchery,
989.001038888842,estuary,hatchery,
989.001038888788,estuary,hatchery,
989.001038888839,estuary,hatchery,
989.001038888767,estuary,hatchery,
989.001038888818,estuary,hatchery,
989.001038888807,estuary,hatchery,
989.001038888826,estuary,hatchery,
989.001038888763,estuary,hatchery,
989.001038888825,estuary,hatchery,
989.001038888765,estuary,hatchery,
989.001038888803,estuary,hatchery,
989.001038888812,estuary,hatchery,
989.001038888749,estuary,hatchery,
989.001038888752,estuary,hatchery,
989.001038888816,estuary,hatchery,
989.001038888754,estuary,hatchery,
989.001038888811,estuary,wild,
989.001038888771,estuary,hatchery,
989.001038888773,estuary,wild,
989.001038888748,estuary,hatchery,
989.001038888843,estuary,wild,
989.001038887226,estuary,wild,
989.001038887175,estuary,wild,
989.001038887197,estuary,wild,
989.001038869361,river,wild,
989.001038889267,estuary,hatchery,
989.001038889259,estuary,hatchery,
989.001038889257,estuary,hatchery,
989.001038889245,estuary,hatchery,
989.001038889304,estuary,hatchery,
989.001038887209,estuary,wild,
989.001038887164,estuary,wild,
989.001038887160,estuary,wild,
989.001038887151,estuary,wild,
989.001038887196,estuary,wild,
989.001038887157,estuary,wild,
989.001038887214,estuary,wild,
989.001038887152,estuary,wild,
989.001038887189,estuary,wild,
989.001038887198,estuary,wild,
989.001038889244,estuary,wild,
989.001038869338,river,wild,
989.001038889309,estuary,wild,
989.001038889299,estuary,wild,
989.001038889313,estuary,wild,
989.001038889283,estuary,wild,
989.001038889260,estuary,wild,
989.001038889263,estuary,wild,
989.001038889324,estuary,wild,
989.001038889249,estuary,wild,
989.001038889314,estuary,wild,
989.001038889298,estuary,wild,
989.001038889250,estuary,wild,
989.001038889327,estuary,hatchery,
989.001038889268,estuary,hatchery,
989.001038889265,estuary,wild,
989.001038889341,estuary,hatchery,
989.001038889326,estuary,hatchery,
989.001038889329,estuary,hatchery,
989.001038889293,estuary,hatchery,
989.001038889295,estuary,hatchery,
989.001038889336,estuary,hatchery,
989.001038889333,estuary,hatchery,
989.001038889274,estuary,wild,
989.001038889342,estuary,hatchery,
989.001038889344,estuary,wild,
989.001038889291,estuary,hatchery,
989.001038889340,estuary,hatchery,
989.001038889335,estuary,hatchery,
989.001038889262,estuary,wild,
989.001041742885,estuary,wild,
989.001041742868,estuary,wild,
989.001041742859,estuary,wild,
989.001041742813,estuary,wild,
989.001041742852,estuary,wild,
989.001039718164,river,wild,
989.001038889317,estuary,hatchery,
989.001038889280,estuary,hatchery,
989.001038889305,estuary,hatchery,
989.001038889246,estuary,hatchery,
989.001038889311,estuary,hatchery,
989.001038889286,estuary,hatchery,
989.001041742878,estuary,wild,
989.001041742883,estuary,wild,
989.001041742889,estuary,wild,
989.001041742894,estuary,wild,
989.001041742834,estuary,wild,
989.001041742857,estuary,wild,
989.001041742864,estuary,wild,
989.001041742851,estuary,wild,
989.001041742887,estuary,wild,
989.001041742853,estuary,wild,
989.001041742806,estuary,wild,
989.001041742869,estuary,wild,
989.001041742892,estuary,wild,
989.001041742896,estuary,wild,
989.001041742873,estuary,wild,
989.001041742828,estuary,wild,
989.001041742867,estuary,wild,
989.001041742827,estuary,wild,
989.001041742890,estuary,wild,
989.001041742821,estuary,wild,
989.001041742815,estuary,wild,
989.001038884676,estuary,wild,
989.001038884663,estuary,wild,
989.001041745387,estuary,hatchery,
989.001041745359,estuary,wild,
989.001041745329,estuary,wild,
989.001041745334,estuary,wild,
989.001038884658,estuary,wild,
989.001038884666,estuary,wild,
989.001038884734,estuary,wild,
989.001038884710,estuary,wild,
989.001038884645,estuary,wild,
989.001038884717,estuary,wild,
989.001038889323,estuary,hatchery,
989.001038889282,estuary,hatchery,
989.001038889306,estuary,hatchery,
989.001038889247,estuary,hatchery,
989.001038889256,estuary,hatchery,
989.001038889294,estuary,hatchery,
989.001038889290,estuary,hatchery,
989.001038889312,estuary,hatchery,
989.001038889277,estuary,hatchery,
989.001038889334,estuary,hatchery,
989.001038889289,estuary,hatchery,
989.001038889254,estuary,hatchery,
989.001038889316,estuary,hatchery,
989.001038889302,estuary,hatchery,
989.001038889301,estuary,hatchery,
989.001038889331,estuary,hatchery,
989.001038889328,estuary,hatchery,
989.001038889270,estuary,hatchery,
989.001038889297,estuary,hatchery,
989.001038889322,estuary,hatchery,
989.001038889330,estuary,hatchery,
989.001038889315,estuary,wild,
989.001038889252,estuary,hatchery,
989.001041745822,estuary,hatchery,
989.001041745811,estuary,hatchery,
989.001041745854,estuary,wild,
989.001038869408,river,wild,
989.001041744893,estuary,hatchery,
989.001041745844,estuary,wild,
989.001041744861,estuary,wild,
989.001041744836,estuary,wild,
989.001041744856,estuary,hatchery,
989.001041744840,estuary,hatchery,
989.001041745869,estuary,hatchery,
989.001041744886,estuary,hatchery,
989.001041745871,estuary,hatchery,
,estuary,wild,
989.001041745072,estuary,wild,
989.001041745059,estuary,wild,
989.001041745085,estuary,wild,
989.001041745088,estuary,wild,
989.001041745096,estuary,wild,
989.001041745027,estuary,wild,
989.001041745022,estuary,wild,
989.001041745073,estuary,wild,
989.001038744154,river,wild,
989.001041745893,estuary,hatchery,
989.001041744890,estuary,hatchery,
989.001041744815,estuary,hatchery,
989.001041744894,estuary,hatchery,
989.001041745840,estuary,hatchery,
989.001041745850,estuary,hatchery,
989.001041745835,estuary,hatchery,
989.001041745816,estuary,hatchery,
989.001041745830,estuary,hatchery,
989.001041745806,estuary,hatchery,
989.001041744835,estuary,wild,
989.001041744825,estuary,hatchery,
989.001041744816,estuary,hatchery,
989.001041744857,estuary,hatchery,
989.001041744863,estuary,hatchery,
989.001041744874,estuary,hatchery,
989.001041744870,estuary,hatchery,
989.001041744881,estuary,hatchery,
989.001041745853,estuary,hatchery,
989.001041744834,estuary,hatchery,
989.001041745009,estuary,wild,
989.001041745010,estuary,wild,
989.001041745042,estuary,wild,
